ID,PART,PIECES,LENGTH,WIDTH,HEIGHT,AREA_M2,CORE_VOLUME_CM3,EST_MASS_KG,FACES
P01,FRONT_FASCIA,1,295.0,1491.9,378.3,0.973,2919.5,3.62,1361
P28,FRONT_SPLITTER_L,1,295.0,706.7,180.0,0.19,569.4,0.71,340
P41,FRONT_SPLITTER_R,1,295.0,706.7,180.0,0.19,569.4,0.71,340
P02,HOOD,1,1075.0,760.0,297.4,0.855,2565.5,3.18,564
P03,FRONT_FENDER_L,4,1095.0,545.0,803.6,1.125,3374.2,4.18,775
P04,FRONT_FENDER_R,4,1095.0,545.0,803.6,1.125,3374.2,4.18,775
P07,ROCKER_L,1,1830.8,264.4,210.0,0.457,1372.3,1.7,286
P08,ROCKER_R,1,1830.8,264.4,210.0,0.457,1372.3,1.7,286
P39,ROCKER_END_L,1,264.2,339.6,208.8,0.086,257.3,0.32,53
P40,ROCKER_END_R,1,264.2,339.6,208.8,0.086,257.3,0.32,53
P09,DOOR_SKIN_L,1,1195.0,211.9,537.3,0.887,2662.5,3.3,388
P10,DOOR_SKIN_R,1,1195.0,211.9,537.3,0.887,2662.5,3.3,388
P11,SIDE_INTAKE_L,4,520.0,495.0,370.0,0.252,754.9,0.94,58
P12,SIDE_INTAKE_R,4,520.0,495.0,370.0,0.252,754.9,0.94,58
P15,REAR_HAUNCH_L,2,1365.0,925.0,579.5,0.687,2062.0,2.56,377
P16,REAR_HAUNCH_R,2,1365.0,925.0,579.5,0.687,2062.0,2.56,377
P17,BUTTRESS_L,1,220.0,706.6,68.7,0.153,458.0,0.57,77
P18,BUTTRESS_R,1,220.0,706.6,68.7,0.153,458.0,0.57,77
P19,REAR_DECK_L,1,1000.0,184.2,127.0,0.206,618.1,0.77,123
P42,REAR_DECK_R,1,1000.0,184.2,127.0,0.206,618.1,0.77,123
P20,ENGINE_COVER,1,1000.0,1120.0,150.5,1.145,3435.7,4.26,510
P21,REAR_FASCIA,1,420.0,1733.1,579.6,1.433,4299.3,5.33,817
P22,DIFFUSER,1,420.0,1675.6,210.0,0.506,1517.1,1.88,342
P13,INTAKE_BLADE_L,1,175.0,44.0,244.0,0.1,298.7,0.37,14
P14,INTAKE_BLADE_R,1,175.0,44.0,244.0,0.1,298.7,0.37,14
P05,FENDER_CHANNEL_L,1,360.0,14.0,167.4,0.127,379.9,0.47,14
P06,FENDER_CHANNEL_R,1,360.0,14.0,167.4,0.127,379.9,0.47,14
P34,REAR_CENTRE_MASK,1,20.0,592.0,192.0,0.135,404.1,0.5,12
P36,PLATE_RECESS,1,16.0,502.0,114.0,0.083,248.8,0.31,12
P35,EXHAUST_SURROUND,1,24.0,280.0,122.0,0.066,196.9,0.24,18
P29,HEADLIGHT_SURROUND_L,1,28.0,278.0,112.0,0.065,195.4,0.24,12
P30,HEADLIGHT_SURROUND_R,1,28.0,278.0,112.0,0.065,195.4,0.24,12
P24,HEADLIGHT_HOUSING_L,1,162.0,122.0,122.0,0.179,537.5,0.67,12
P25,HEADLIGHT_HOUSING_R,1,162.0,122.0,122.0,0.179,537.5,0.67,12
P31,INTAKE_DUCT_L,1,310.0,700.0,270.0,0.687,2060.8,2.56,36
P32,INTAKE_DUCT_R,1,310.0,700.0,270.0,0.687,2060.8,2.56,36
